trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.4, 'e': 0.3887839180742268}",20,0,6.882706811061677,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.38489607889348454}",20,7,0.9329713594873303,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.38104711810454966}",20,0,-9.659726311037408,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.37723664692350417}",25,10,13.768565483927846,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.37346428045426916}",20,0,-18.613707071491817,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.4, 'e': 0.36972963764972644}",25,9,-8.599104798866456,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.4, 'e': 0.3660323412732292}",25,0,-2.3800860907545696,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
101,False,"{'a': 0.4, 'e': 0.3623720178604969}",20,3,15.742949824376042,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.3587482976818919}",20,0,-21.93043159730325,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.4, 'e': 0.355160814705073}",20,12,11.922072327668644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.35160920655802225}",30,12,15.549347577168373,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.348093114492442}",25,0,-43.27442899464398,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.3446121833475176}",35,20,14.377009962808971,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.34116606151404244}",20,14,11.594260349063125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.337754400898902}",25,0,-5.124871336451399,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.4, 'e': 0.334376856889913}",25,6,-2.2415397394846943,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.33103308832101386}",20,14,-30.794654592935093,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.4, 'e': 0.3277227574378037}",25,19,4.308650231958275,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.3244455298634257}",25,0,-49.364879899619964,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.4, 'e': 0.3212010745647914}",20,0,18.739315202040014,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.3179890638191435}",20,0,-2.3736952491862753,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.31480917318095203}",25,7,-33.73815750799773,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.4, 'e': 0.3116610814491425}",30,6,17.840937702182455,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.30854447063465107}",25,4,32.264519109844116,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.3054590259283046}",20,11,14.701492394476144,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.30240443566902153}",30,13,-19.82042983299036,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.2993803913123313}",20,14,10.494975602300615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.296386587399208}",25,7,-28.311129727060738,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.2934227215252159}",25,7,2.821056417214423,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.4, 'e': 0.29048849430996376}",25,0,6.745439368022633,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.4, 'e': 0.2875836093668641}",30,8,-1.6256579227694845,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.4, 'e': 0.28470777327319546}",25,20,11.395016263028683,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.2818606955404635}",20,8,22.51574779791061,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.27904208858505886}",25,0,-72.93017856700821,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
128,False,"{'a': 0.4, 'e': 0.2762516676992083}",20,16,7.047896294060686,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.2734891510222162}",20,4,-24.04832317497947,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.27075425951199406}",20,12,-9.814057382157104,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.2680467169168741}",30,3,1.8691873358829927,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.26536624974770534}",20,13,0.049008004378359615,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.2627125872502283}",20,0,20.91551036576244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.4, 'e': 0.26008546137772603}",25,14,4.889602179079295,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.25748460676394874}",30,15,10.172316481669146,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.2549097606963093}",20,13,-42.19691390620084,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.4, 'e': 0.2523606630893462}",20,0,26.66007047773266,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.2498370564584527}",20,6,-8.057936483149781,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.4, 'e': 0.24733868589386818}",25,8,12.138982264714086,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
